,proposer_total_reward,date
0,0.9884600847320273,2022-09-15
1,0.984045566306375,2022-09-16
2,0.9919372547071892,2022-09-17
3,0.9840119251425503,2022-09-18
4,0.9919341568223836,2022-09-19
5,0.9840059390159339,2022-09-20
6,0.9921246061285083,2022-09-21
7,0.9839689449974358,2022-09-22
8,0.9840206195011361,2022-09-23
9,0.9919349930063004,2022-09-24
10,0.9839654561163014,2022-09-25
11,0.9919712379135981,2022-09-26
12,0.9841084979308881,2022-09-27
13,0.9919839905443657,2022-09-28
14,0.984204380856893,2022-09-29
15,0.9920440037155709,2022-09-30
16,0.984308041567755,2022-10-01
17,0.9841082444201454,2022-10-02
18,0.9920819123256639,2022-10-03
19,0.9842895922096804,2022-10-04
20,0.9921110211457869,2022-10-05
21,0.9842822956636945,2022-10-06
22,0.992106771475108,2022-10-07
23,0.9842965824915162,2022-10-08
24,0.9920869772623135,2022-10-09
25,0.9843506847767007,2022-10-10
26,0.9921445492904091,2022-10-11
27,0.9842712106645204,2022-10-12
28,0.9843831101892573,2022-10-13
29,0.9921432467500162,2022-10-14
30,0.9843364055751063,2022-10-15
31,0.9921172385628876,2022-10-16
32,0.9843907420521778,2022-10-17
33,0.9921263544451151,2022-10-18
34,0.9845273800346996,2022-10-19
35,0.9922135665621368,2022-10-20
36,0.9846006831699441,2022-10-21
37,0.9845962108987694,2022-10-22
38,0.992259504901355,2022-10-23
39,0.9847904218552441,2022-10-24
40,0.9922717913872454,2022-10-25
41,0.9846544801635679,2022-10-26
42,0.9922505382263502,2022-10-27
43,0.9847118058722104,2022-10-28
44,0.9923355155985221,2022-10-29
45,0.984691991125809,2022-10-30
46,0.9923725975582627,2022-10-31
47,0.9848896669698817,2022-11-01
48,0.9849049465476898,2022-11-02
49,0.992436959272823,2022-11-03
50,0.9849047232072208,2022-11-04
51,0.9924130949976149,2022-11-05
52,0.984894309905006,2022-11-06
53,0.9923984279809472,2022-11-07
54,0.9849355762336129,2022-11-08
55,0.9925000721985504,2022-11-09
56,0.9849569294562381,2022-11-10
57,0.9850706865217076,2022-11-11
58,0.9925036957116473,2022-11-12
59,0.9850547659603492,2022-11-13
60,0.9925257168300847,2022-11-14
61,0.9852052212570539,2022-11-15
